source,lang-source,author,license,sme-reviewed,premium,lang-source-dict,id
Bateau de plaisance,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Bateau destiné uniquement aux loisirs ou aux sports.,530fb7e6-fbc1-42c3-8f30-3434aedcdcd2
Bien immeuble,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Bien ne pouvant être déplacé (un terrain ou un appartement par exemple) ou objet en faisant partie intégrante (la clôture du terrain par exemple).,c34f11f6-ed80-4ecf-bee2-885a4bbc2987
Bien indivis,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Bien possédé en commun par plusieurs personnes.,ffff79ea-8dda-4d92-92c8-aa2cf28cc8b0
Bien meuble,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Désigne 2 catégories de biens : corporels (objets pouvant être déplacés, par exemple un véhicule) et incorporels (par exemple droits d'auteur, parts sociales).",3e5ca6b2-1511-4ab0-8ed9-f9e8701d5cf3
Biodéchet,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Déchet non dangereux biodégradable de jardin ou de parc, tout déchet non dangereux alimentaire issu notamment des ménages ou des professionnels (restaurants, traiteurs, magasins de vente au détail, établissements de production ou de transformation de denrées alimentaires).",28d153b0-b9b3-4e52-9502-ab2bd12b2081
Bâtonnier,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Avocat élu pour 2 ans par ses confrères dans chaque barreau pour les représenter et garantir la déontologie et la discipline de la profession. Il désigne les avocats commis d'office, règle les différends entre eux ou avec leurs clients.",40f6c51e-47f6-414e-8d15-1a7facbe3080
Camionnette,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Véhicule de moins de 3,5 tonnes conçu et construit pour le transport de marchandises.",96dea52c-8913-4737-9035-02cf456341ae
Capacité juridique,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Aptitude d'une personne à avoir des droits et des obligations et à les exercer elle-même (par exemple, droit de conclure un contrat, droit d'agir en justice...).",b5eb56a7-7e2f-4c5b-8c94-18ded9c63cfe
Catégorie active,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Catégorie dans laquelle sont classés des emplois de l'administration présentant un risque particulier ou occasionnant des fatigues exceptionnelles (par exemple : policier, surveillant pénitentiaire, égoutier, etc.).",3dabcebb-5790-4057-9584-715736b33896
Certificat de dépôt de plainte,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Document du tribunal attestant qu'une plainte a été déposée.,37cb804b-bc40-4b1b-b60d-80b00f8bf050
